run_id,timestamp,target_app,endpoint,method,tool,attack_type,owasp_category,payload,status_code,response_time_ms,evidence,severity,confirmed,fingerprint,matched_cve
41977516,2026-08-21T16:25:53.261037+00:00,crapi,/community/api/v2/community/posts,POST,schemathesis,XSS,API8:2023 Security Misconfiguration,"""<img src=x onerror=alert('CRAPI_XSS_TEST')>""",200,69.2,"HTTP 200; leaked signal: ['onerror', 'crapi_xss_test']",medium,True,fda8f87c8b7f732c,
3b580518,2026-08-21T16:53:08.122324+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,32.5,HTTP 200; matched signal=['debug'],medium,True,1bfe7e72903c87a5,
3b580518,2026-08-21T16:53:08.138619+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #""}",200,45.9,"HTTP 200; matched signal=['dvga_cmdi_marker', 'debug']",medium,True,faf16325b12cea6f,
3b580518,2026-08-21T16:53:08.129123+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,35.5,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
3b580518,2026-08-21T16:53:08.333130+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,9.8,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
fce4822c,2026-08-21T17:04:39.387164+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,22.5,HTTP 200; generic signal only=['debug']; khong du de xac nhan vulnerability,info,False,1bfe7e72903c87a5,
fce4822c,2026-08-21T17:04:39.399930+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #""}",200,33.6,HTTP 200; matched expected signal=['dvga_cmdi_marker']; generic signal=['debug'],medium,True,faf16325b12cea6f,
fce4822c,2026-08-21T17:04:39.393382+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,26.5,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
fce4822c,2026-08-21T17:04:39.596315+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,7.4,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
e21a4034,2026-08-22T07:18:55.800110+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,45.2,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
856404f0,2026-08-22T07:18:57.037275+00:00,crapi,/community/api/v2/community/posts/{postId},GET,schemathesis,SQL_INJECTION,API8:2023 Security Misconfiguration,"""' OR '1'='1""",400,108.5,HTTP 400; khong phat hien dau hieu bat thuong,info,False,502a1b4dc4b35227,
856404f0,2026-08-22T07:18:57.037415+00:00,crapi,/community/api/v2/community/posts,POST,schemathesis,XSS,API8:2023 Security Misconfiguration,"""<script>alert('CRAPI_XSS_TEST')</script>""",200,104.8,"HTTP 200; leaked signal: ['crapi_xss_test', 'alert(']",medium,True,e28f3aabe874f7a6,
856404f0,2026-08-22T07:18:57.037070+00:00,crapi,/community/api/v2/community/posts,POST,schemathesis,XSS,API8:2023 Security Misconfiguration,"""<img src=x onerror=alert('CRAPI_XSS_TEST')>""",200,103.1,"HTTP 200; leaked signal: ['onerror', 'crapi_xss_test']",medium,True,fda8f87c8b7f732c,
9e4c1483,2026-08-22T07:18:57.825995+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,41.3,HTTP 200; generic signal only=['debug']; khong du de xac nhan vulnerability,info,False,1bfe7e72903c87a5,
9e4c1483,2026-08-22T07:18:57.842549+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #""}",200,52.4,HTTP 200; matched expected signal=['dvga_cmdi_marker']; generic signal=['debug'],medium,True,faf16325b12cea6f,
9e4c1483,2026-08-22T07:18:57.880434+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,88.0,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
9e4c1483,2026-08-22T07:18:58.040244+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,13.1,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
fd0f41d8,2026-08-22T10:04:52.715588+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",,12.1,request loi: All connection attempts failed,unknown,False,3eadc831a5b5d1e8,
fd0f41d8,2026-08-22T10:04:52.847246+00:00,crapi,/community/api/v2/community/posts/{postId},GET,schemathesis,SQL_INJECTION,API8:2023 Security Misconfiguration,"""' OR '1'='1""",401,137.7,HTTP 401; leaked signal: ['unauthorized'],medium,True,502a1b4dc4b35227,
2bb08149,2026-08-22T10:04:53.766136+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,92.3,HTTP 200; generic signal only=['debug']; khong du de xac nhan vulnerability,info,False,1bfe7e72903c87a5,
2bb08149,2026-08-22T10:04:53.773042+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,95.7,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
2bb08149,2026-08-22T10:04:53.779561+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,100.9,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
a0b38cee,2026-08-22T10:14:54.313314+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,49.0,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
786b0b94,2026-08-22T10:14:56.299706+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,44.2,HTTP 200; generic signal only=['debug']; khong du de xac nhan vulnerability,info,False,1bfe7e72903c87a5,
786b0b94,2026-08-22T10:14:56.279177+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,19.3,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
786b0b94,2026-08-22T10:14:56.285069+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,24.4,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
7ff11a03,2026-08-22T10:17:36.703282+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,17.5,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
2462e8bb,2026-08-22T10:17:39.608948+00:00,crapi,/community/api/v2/community/posts/{postId},GET,schemathesis,SQL_INJECTION,API8:2023 Security Misconfiguration,"""' OR '1'='1""",400,1250.9,HTTP 400; khong phat hien dau hieu bat thuong,info,False,502a1b4dc4b35227,
2462e8bb,2026-08-22T10:17:39.607424+00:00,crapi,/community/api/v2/community/posts,POST,schemathesis,XSS,API8:2023 Security Misconfiguration,"""<script>alert('CRAPI_XSS_TEST')</script>""",200,1241.6,"HTTP 200; leaked signal: ['crapi_xss_test', 'alert(']",medium,True,e28f3aabe874f7a6,
2462e8bb,2026-08-22T10:17:39.609149+00:00,crapi,/community/api/v2/community/posts,POST,schemathesis,XSS,API8:2023 Security Misconfiguration,"""<img src=x onerror=alert('CRAPI_XSS_TEST')>""",200,1242.4,"HTTP 200; leaked signal: ['onerror', 'crapi_xss_test']",medium,True,fda8f87c8b7f732c,
d6c815d8,2026-08-22T10:17:41.002394+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,48.7,HTTP 200; generic signal only=['debug']; khong du de xac nhan vulnerability,info,False,1bfe7e72903c87a5,
d6c815d8,2026-08-22T10:17:40.985673+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""DVGA_CMDI_TEST; printf DVGA_CMDI_MARKER; #""}",200,28.7,HTTP 200; matched expected signal=['dvga_cmdi_marker']; generic signal=['debug'],medium,True,faf16325b12cea6f,
d6c815d8,2026-08-22T10:17:41.008993+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,51.1,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
d6c815d8,2026-08-22T10:17:41.198025+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,11.1,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
07ce8ec5,2026-08-22T12:36:31.394580+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,14.3,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
04fe9f16,2026-08-22T12:36:32.420690+00:00,crapi,/community/api/v2/community/posts/{postId},GET,schemathesis,SQL_INJECTION,API8:2023 Security Misconfiguration,"""' OR '1'='1""",400,76.0,HTTP 400; khong phat hien dau hieu bat thuong,info,False,502a1b4dc4b35227,
881ab9fd,2026-08-22T12:36:33.080934+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,33.5,HTTP 200; generic signal only=['debug']; khong du de xac nhan vulnerability,info,False,1bfe7e72903c87a5,
881ab9fd,2026-08-22T12:36:33.091812+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,41.5,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
881ab9fd,2026-08-22T12:36:33.087422+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,36.2,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
5940592d,2026-08-22T12:56:01.924894+00:00,vampi,/users/v1,GET,schemathesis,SQL_INJECTION,,"""1' OR '1'='1""",200,17.2,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3eadc831a5b5d1e8,
045dc311,2026-08-22T12:56:02.894743+00:00,crapi,/community/api/v2/community/posts/{postId},GET,schemathesis,SQL_INJECTION,API8:2023 Security Misconfiguration,"""' OR '1'='1""",400,54.7,HTTP 400; khong phat hien dau hieu bat thuong,info,False,502a1b4dc4b35227,
2c7f2715,2026-08-22T12:56:03.533289+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDebug(arg: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,34.1,HTTP 200; generic signal only=['debug']; khong du de xac nhan vulnerability,info,False,1bfe7e72903c87a5,
2c7f2715,2026-08-22T12:56:03.516733+00:00,dvga,/graphql,POST,graphql,COMMAND_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""printf DVGA_DIAG_MARKER\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""printf DVGA_DIAG_MARKER""}",200,13.8,HTTP 200; khong phat hien dau hieu bat thuong,info,False,1bdf3e7601106147,
2c7f2715,2026-08-22T12:56:03.538959+00:00,dvga,/graphql,POST,graphql,SQL_INJECTION,API8:2023 Security Misconfiguration,"{""query"": ""query { systemDiagnostics(username: \""test\"", password: \""test\"", cmd: \""1' OR '1'='1\"") }"", ""variables"": {}, ""operation_name"": null, ""payload_value"": ""1' OR '1'='1""}",200,35.8,HTTP 200; khong phat hien dau hieu bat thuong,info,False,3744bfb3382ea2ab,
